income,loan_amount,credit_score,employment_years,existing_debt,loan_term,loan_status
123018,63656,451,16,48367,12,0
138252,32285,348,2,1855,12,0
33110,6605,453,27,40893,24,0
104309,76158,592,17,13794,60,0
52266,77303,349,7,35531,60,0
77992,32139,830,21,4986,60,1
107948,61138,359,24,32298,24,0
147073,18918,466,23,1481,60,0
123806,32446,501,25,3731,60,0
31910,18046,445,18,16835,36,0
135989,29818,738,4,27798,12,1
115982,9324,541,6,26113,12,0
146626,14111,782,20,19477,36,1
144176,43110,407,7,17266,36,0
25206,21389,525,27,20792,36,0
112054,46427,731,4,20452,12,1
112897,33746,718,16,43526,60,1
147409,5117,754,4,49079,36,1
48419,18234,459,3,41334,24,0
75636,58441,822,21,11889,36,0
147546,5846,376,18,24335,48,0
139238,15954,808,30,11254,36,1
75015,51514,740,26,21074,12,1
142478,11469,553,20,11442,36,0
147096,35105,619,1,46289,48,1
132059,47101,562,10,37327,24,0
79268,69323,673,21,16199,60,0
135687,63067,466,12,7291,36,0
112939,54376,758,14,40928,48,1
43141,50587,579,11,112,48,0
105356,41976,601,21,21515,24,1
130878,72584,830,20,19581,12,1
96910,47533,517,21,48692,36,0
81044,6828,401,10,26500,48,0
92214,6917,587,6,32026,24,0
142930,25618,466,27,16523,60,0
144324,37254,335,4,1424,48,0
58827,52362,652,16,19552,24,0
80820,25128,372,23,10808,12,0
87623,64383,652,19,38811,12,1
106734,70545,369,8,6989,48,0
100450,14865,724,13,23620,48,1
118426,7219,816,25,39029,36,1
142845,44809,727,11,887,24,1
47299,10287,838,5,31802,48,0
68585,39387,459,16,19488,36,0
134225,13512,448,18,30013,36,0
89044,6342,529,18,49201,48,0
67557,68076,366,25,16402,12,0
74080,24216,680,15,21205,24,1
134556,31614,357,11,26049,24,0
27693,41258,558,11,12253,12,0
120003,47078,641,19,18990,48,1
120259,17219,429,5,7846,24,0
137235,5235,471,30,25027,48,0
94163,47929,508,22,39200,48,0
50939,72444,653,25,46220,36,0
73925,13567,770,3,46163,12,0
67941,75792,415,5,3765,48,0
46834,70441,563,10,15950,60,0
43047,78698,741,0,45270,12,0
51105,10415,847,29,9741,24,1
100766,41159,752,23,22742,36,1
40707,48925,776,22,24703,24,0
46976,10951,586,14,38709,24,0
69262,13007,602,26,37623,12,0
48776,46832,610,10,22931,24,0
55080,63596,507,24,23580,48,0
91842,35523,745,18,15166,24,1
86373,20524,354,17,29240,36,0
31776,24282,311,16,25991,36,0
117787,28930,699,18,38556,60,1
80016,5077,814,20,32969,36,1
34474,25611,841,13,10561,24,1
130830,21984,536,26,16901,36,0
83053,19060,578,17,40505,12,0
46959,48303,647,27,30020,36,0
30530,64207,403,18,25917,48,0
119856,34287,816,14,1988,12,1
144101,44711,547,30,48209,60,0
28748,16954,663,14,44505,48,0
122504,78340,620,3,14256,24,1
123098,77101,585,6,22192,24,0
38545,76520,448,12,28230,24,0
91199,23574,383,2,39930,48,0
59766,14184,705,15,45833,48,0
98530,24096,755,30,22625,48,1
118557,72728,460,8,32088,12,0
86087,39016,759,7,14114,12,1
120839,16246,849,19,41167,24,1
141183,50558,799,12,38401,36,1
93840,23381,808,16,5755,24,1
143451,41455,780,16,10825,60,1
79384,9018,413,16,22693,12,0
76005,16302,660,0,4117,48,0
71576,72506,640,7,24729,12,0
64353,46157,748,18,32182,48,0
87003,59917,479,30,28890,60,0
108211,29519,706,5,29340,60,1
77733,61819,495,2,1518,12,0
90318,76324,765,26,30949,48,0
134953,10408,610,4,22547,60,1
114474,64379,561,12,16346,24,0
48664,30053,718,14,2600,24,1
92172,14446,705,13,46005,48,1
110616,5922,442,28,29267,12,0
118264,56356,641,30,36322,60,1
140386,15789,615,22,26990,12,1
51736,71656,400,15,16193,24,0
119209,49028,543,17,30109,60,0
128041,69484,789,21,19233,12,1
137859,37154,311,28,48021,36,0
137181,7336,538,21,16194,48,0
25854,72779,341,10,34510,48,0
115084,24029,728,2,1306,36,1
63623,64201,457,21,3849,24,0
32392,37265,515,9,12360,60,0
80680,48872,761,9,45536,48,0
71717,51197,433,29,29231,36,0
144937,60180,366,20,45800,36,0
112092,28710,306,15,36963,24,0
75859,34486,825,11,18689,24,1
129095,76907,372,1,29084,12,0
51309,76895,698,8,40387,48,0
112455,69435,704,23,9280,12,1
88734,45631,429,2,2642,36,0
95467,25103,765,23,42137,60,1
77662,69772,505,29,14296,60,0
123506,19382,565,24,15438,24,0
134751,8756,836,29,48442,60,1
143906,25609,552,14,37525,60,0
37688,21478,588,2,2994,60,0
50342,44666,463,18,47994,36,0
62157,76315,394,17,34039,60,0
92863,19153,409,7,1813,60,0
131308,17999,635,25,27491,60,1
77083,60318,537,16,18845,12,0
131081,5814,680,7,41243,36,1
90733,7443,735,6,37164,24,1
114045,78319,782,29,42051,12,1
59698,22368,324,6,13318,48,0
135078,20328,416,2,17200,36,0
105623,61942,781,0,82,36,0
47671,32306,691,3,1920,48,1
50184,44915,836,24,40585,48,0
118384,42219,378,4,11683,48,0
67107,69644,472,0,11336,24,0
111202,65279,311,14,15596,60,0
134893,58028,427,4,2093,36,0
76663,5126,391,12,12905,60,0
40708,57329,842,7,24351,60,0
116906,32632,831,7,30981,48,1
74811,70310,746,4,8367,24,0
27811,60176,689,27,5285,12,0
81250,49327,342,8,43664,24,0
137547,73904,553,30,37705,60,0
97082,8797,429,0,16753,24,0
149249,52882,359,3,18485,48,0
59754,18718,766,2,12977,12,1
120742,39560,586,1,19874,48,0
131642,27116,816,30,7674,12,1
36411,41244,766,7,29038,60,0
27911,6645,644,22,29315,12,0
92270,52523,681,8,3676,12,1
108763,24256,552,1,2426,12,0
33680,58173,355,13,24473,24,0
109896,42430,762,13,2962,24,1
108879,44282,756,3,29943,60,1
96295,68374,382,29,859,12,0
113614,73244,398,30,44816,36,0
125689,16694,448,5,4138,60,0
36111,61264,628,10,35192,12,0
62504,62545,455,2,25640,12,0
26802,44224,489,7,10409,24,0
33155,18224,793,2,4017,60,1
98656,45738,562,13,10451,12,0
64384,30150,379,27,28327,12,0
137561,68731,699,12,10278,60,1
72254,54688,559,12,24944,36,0
46918,78509,400,1,43764,60,0
110981,13577,658,12,1134,60,1
85713,13070,679,28,30131,36,1
55306,13666,520,18,37887,60,0
41646,62761,719,26,38462,12,0
71843,41368,423,5,22520,60,0
145975,11783,721,15,21869,36,1
121601,46914,530,1,36932,48,0
115735,75507,362,7,5039,60,0
132512,72526,784,16,21281,24,1
41371,75835,782,22,47399,12,0
102371,50765,818,1,10442,12,1
136472,24956,454,9,8252,24,0
27049,51240,391,27,27586,24,0
56616,42148,825,15,17568,60,1
128727,9757,754,5,20810,24,1
137893,24097,809,27,1551,48,1
45932,15395,482,1,12625,36,0
142796,21241,685,1,34397,24,1
54855,32696,704,25,26249,24,1
86434,75480,545,12,1361,48,0
97694,51163,770,23,26149,12,1
68016,24816,722,14,4370,12,1
32400,54840,364,30,5283,60,0
142858,57853,312,27,7610,48,0
67642,29917,512,1,43326,36,0
40151,26566,541,6,14924,36,0
76407,67823,792,2,47607,48,0
91690,25806,512,7,44717,36,0
29499,6759,637,22,10626,12,1
31295,46949,472,13,34761,36,0
145885,7482,463,23,869,36,0
84040,29442,764,29,31552,48,1
37183,38719,796,22,1014,48,0
54299,63066,694,26,10103,36,0
37874,7079,607,21,16986,24,1
141336,7717,482,28,44781,48,0
57711,64676,809,6,30471,60,0
30539,32952,845,20,33458,60,0
132941,47460,526,6,25069,12,0
78351,77847,735,0,16873,36,0
86267,23449,721,16,23248,24,1
148133,38536,320,8,23624,12,0
73354,69077,696,29,43516,36,0
27557,43258,404,20,29061,48,0
63360,53302,491,12,24170,60,0
107018,33865,316,20,8024,24,0
27200,11645,419,18,16678,60,0
137476,43000,692,20,38256,48,1
93497,31737,724,18,20411,36,1
71975,16485,428,24,43803,48,0
46357,43565,429,24,19296,48,0
144121,30522,328,21,26293,60,0
102505,70155,396,30,27172,24,0
27869,60168,309,16,21128,48,0
86135,57487,541,22,18257,60,0
75108,17342,531,22,12855,24,0
137296,45806,583,29,19642,36,0
119179,53770,499,9,35585,36,0
115272,57603,378,9,20025,12,0
63467,31399,472,3,4458,60,0
48328,60106,766,7,5307,24,0
144181,35678,715,21,41701,48,1
116412,68230,748,19,18425,36,1
111831,79055,386,19,49831,24,0
28987,61373,400,17,43427,60,0
83871,36480,307,13,28273,12,0
47399,73836,499,17,38506,36,0
71214,77258,804,27,5668,24,0
124522,44986,386,13,25934,24,0
111416,29160,342,19,47195,24,0
95271,69929,684,20,7697,60,1
69064,78506,734,23,24417,60,0
95091,39911,707,14,16446,60,1
132450,36821,782,21,40597,48,1
65818,65535,316,29,10751,24,0
70525,17175,447,30,46218,36,0
44830,59771,576,3,7352,60,0
42429,71358,531,12,13516,60,0
31893,22327,665,26,23299,24,0
141381,52057,527,22,31957,60,0
104909,11150,735,7,28927,48,1
72333,9425,698,17,41094,48,0
28436,21032,510,11,36412,60,0
99290,7198,690,22,29493,24,1
101213,65500,798,30,26711,24,1
30895,58394,839,13,8003,24,0
44738,25079,790,1,31707,12,0
55746,41220,741,17,3278,60,1
74377,46874,560,23,7296,24,0
73404,18859,649,1,25398,48,1
79045,55460,651,30,35842,36,1
122888,36419,819,10,13261,36,1
64790,13705,619,8,11173,24,1
132455,47880,437,11,30449,36,0
30600,28236,849,16,41080,36,0
119660,20358,667,14,1637,12,1
118179,19596,519,24,31781,48,0
65764,38572,636,30,13652,48,1
99543,6279,522,16,5103,12,0
70714,68197,659,25,25500,12,0
81835,67516,628,28,49796,36,0
127946,12083,762,25,34800,60,1
134616,22771,681,17,35529,36,1
130983,34975,468,21,47963,12,0
98744,50648,516,5,18452,48,0
81491,53285,677,16,49393,36,0
149123,24063,418,22,31174,60,0
43589,72642,489,23,35436,36,0
68484,42599,669,17,47406,24,0
107989,56920,448,7,15954,36,0
61212,33529,787,8,17186,12,1
68525,40954,673,5,12356,48,1
72202,32856,459,4,32963,48,0
57635,7573,650,11,2187,12,1
88208,40367,587,24,11707,24,0
58828,65774,587,28,35098,12,0
43711,28752,525,27,26935,36,0
28420,60029,822,10,21225,12,0
121752,22685,821,24,3606,12,1
25301,56693,572,0,32828,24,0
70236,60961,701,10,26489,36,0
140294,79532,482,18,14387,60,0
142858,61133,787,8,3927,60,1
91235,66268,423,26,6296,48,0
79240,43243,713,1,30444,12,1
149019,62384,471,11,46390,48,0
90726,36653,587,3,46893,24,0
35492,31657,734,3,2591,60,0
140668,44952,412,17,44895,12,0
126279,27180,421,14,48516,24,0
31102,6622,843,18,26147,24,0
75336,53756,521,12,38889,12,0
143015,45809,338,18,1200,24,0
110314,21725,796,16,15721,12,1
148007,66396,532,5,19238,12,0
51641,56226,829,15,11087,36,0
59584,34402,448,23,30816,48,0
57745,9263,696,11,23408,24,1
145542,51828,601,18,39740,24,1
48093,52924,659,4,136,36,0
91105,79182,537,16,17413,36,0
128746,64052,535,25,48114,36,0
125199,16664,502,22,18978,60,0
76885,40737,555,25,661,60,0
61631,34373,534,28,35240,60,0
136217,41397,644,0,27253,12,0
97991,43709,833,27,26884,24,1
29014,66120,765,26,32854,48,0
36093,24250,840,24,10704,12,1
43070,26172,512,23,38987,24,0
60777,16555,762,22,24527,24,1
81958,58276,735,9,16322,36,1
107074,62492,582,14,47517,36,0
35729,58002,762,22,6968,12,0
124713,77355,706,20,27518,36,1
70017,29762,387,20,46364,24,0
91320,16046,343,10,27886,36,0
52751,33769,760,12,1700,60,1
131400,58302,577,4,28246,36,0
130864,28150,720,0,35468,24,0
103069,73247,652,23,23199,12,1
130647,9853,814,11,44589,48,1
130510,26792,318,10,32115,36,0
79748,64129,322,16,5520,24,0
30801,79478,712,3,44278,48,0
44190,72298,329,14,36455,48,0
74689,36987,407,24,49748,60,0
129290,20850,666,29,20929,48,1
75993,17112,580,8,41605,24,0
54592,29058,427,20,14955,24,0
35647,50420,528,19,44049,36,0
33716,43890,410,18,13917,36,0
113891,71017,435,18,4757,36,0
112545,52304,661,11,13045,48,1
142638,37921,485,4,41680,48,0
114912,6524,428,9,4733,60,0
135627,20048,560,16,30954,36,0
95316,40111,814,4,31135,12,1
27368,42904,748,21,7081,60,0
102575,59912,403,15,41458,12,0
31655,39008,782,6,23501,48,0
131477,5060,523,27,21113,60,0
95031,79666,790,8,34441,60,0
101429,60337,772,2,47086,24,1
116083,18350,309,14,24690,48,0
112922,29354,704,15,43939,48,1
80766,50186,601,17,29345,60,1
149046,33145,530,13,46313,48,0
38403,39020,365,2,44571,60,0
57097,25581,411,11,26829,24,0
103657,28051,312,8,35062,60,0
145607,56474,692,27,3630,48,1
35966,74626,799,6,47861,48,0
149862,11960,533,8,31870,60,0
124157,40772,613,12,49298,60,1
143834,26520,311,17,47221,60,0
118848,54481,508,4,44942,36,0
77921,41408,313,12,3453,48,0
74726,62134,717,3,37275,48,0
75300,25491,736,30,43370,36,0
47677,6341,676,1,38396,60,0
80609,49623,319,15,8328,24,0
121825,5338,369,8,15534,60,0
81661,76431,510,8,19744,60,0
56024,17254,400,5,19389,36,0
133211,56860,431,10,36320,48,0
95313,16344,680,21,49170,60,0
78006,6750,431,23,35010,48,0
120285,59756,319,21,14665,12,0
40338,72957,835,0,37865,48,0
93027,63053,526,3,8640,24,0
117772,75855,453,12,34716,24,0
138632,20896,768,22,25521,60,1
105135,60761,704,12,30049,48,1
44508,67552,501,12,5618,60,0
145379,32935,337,1,37004,36,0
28051,42641,487,8,1920,24,0
73747,34711,356,23,43937,60,0
139692,75342,319,7,4188,36,0
112142,17182,572,6,12207,60,0
112235,61276,418,3,238,48,0
79021,24541,815,17,32972,48,1
91412,49813,520,2,10799,48,0
83335,42198,825,27,5552,48,1
81179,13820,814,5,28916,12,1
57093,29070,635,11,4927,36,1
94678,74768,354,11,27964,36,0
105738,16122,799,20,11164,48,1
64734,78543,835,27,37158,12,0
97615,46786,461,7,19071,48,0
98523,11737,458,21,48409,12,0
130103,41062,487,21,6160,48,0
119476,59237,359,0,15810,24,0
127769,56571,618,3,5126,24,1
42019,30510,510,20,30009,60,0
136721,24426,705,27,33584,48,1
108613,42265,408,10,46182,36,0
116794,22850,375,2,25396,60,0
111672,71150,841,12,192,24,1
98847,79910,613,24,36413,48,0
107750,57375,416,16,12816,60,0
104634,40435,318,21,39082,48,0
53251,62132,731,21,32130,24,0
128481,7983,649,9,40142,60,1
137566,25662,482,20,36468,24,0
50945,28510,412,11,30698,12,0
115852,45998,482,14,10655,24,0
57217,61846,780,20,47897,48,0
33308,11640,445,9,30075,36,0
30949,49547,412,13,9359,24,0
76990,59620,775,12,36661,36,0
26150,20317,602,4,39579,12,0
114480,12564,417,5,42056,60,0
125235,32345,460,23,33272,60,0
99740,79859,700,1,42581,36,0
141352,79038,497,21,14671,60,0
91617,57393,559,16,27048,24,0
119841,71081,346,3,10738,36,0
41896,34430,698,13,25963,48,0
71175,32788,377,9,43954,24,0
32805,53543,423,2,6773,24,0
30237,18919,374,24,36584,24,0
140247,74346,436,2,29894,48,0
45056,44974,699,14,717,12,0
70543,21371,804,5,11676,60,1
81556,50084,799,16,4434,36,1
139548,34629,437,11,49810,12,0
136488,56184,349,21,37825,36,0
28343,66916,553,19,29100,60,0
38500,78972,725,23,4994,48,0
78222,67187,846,28,4234,24,0
54375,17984,601,10,3764,24,1
34662,38039,648,24,43949,48,0
41964,63606,348,3,37405,12,0
138429,15616,373,25,34872,12,0
146692,55072,560,27,42215,36,0
84638,29574,655,25,23185,48,1
98666,8430,559,5,43442,12,0
110067,17676,594,0,41153,48,0
143937,15816,612,19,11999,60,1
92215,37733,481,22,36487,24,0
94042,7050,663,27,2581,24,1
38284,38933,487,15,2763,24,0
97789,29951,842,14,27374,48,1
109664,37413,847,16,38759,48,1
118468,39801,707,7,10531,36,1
86389,60619,713,27,25307,24,1
34435,37913,641,25,30835,36,0
79340,45600,519,11,11064,24,0
69078,62775,462,26,11312,36,0
103832,40400,519,21,37548,36,0
76293,9494,569,20,36945,60,0
120981,79691,699,9,47937,36,1
103781,48001,481,26,6476,48,0
85403,72364,504,14,24565,36,0
54124,50028,527,29,2382,24,0
120435,42573,549,8,49683,36,0
68919,5806,740,1,22463,12,1
133761,61638,832,4,45276,24,1
146305,34757,495,5,33402,12,0
60247,39636,818,6,26345,24,1
146172,53280,369,20,44764,48,0
119758,29262,698,24,26946,48,1
116747,67211,502,0,14162,48,0
87752,59842,447,22,49154,12,0
81573,61979,771,25,46773,60,0
84101,43197,498,6,8397,24,0
127756,46844,725,19,22335,48,1
51646,69754,791,24,45095,24,0
129185,39157,441,29,14394,12,0
48049,45042,612,11,27197,60,0
104605,66665,464,15,22010,12,0
123116,32376,613,15,24123,24,1
122379,60554,320,10,22387,60,0
93385,19199,381,20,2890,60,0
65158,55948,430,3,27769,12,0
90417,78781,604,12,43626,48,0
48289,77750,670,6,8026,24,0
135226,71262,683,3,3306,36,1
125793,51600,744,14,33665,36,1
34823,67483,724,18,9277,12,0
85160,23297,460,8,42239,24,0
66975,35448,477,10,47664,24,0
34540,31172,789,7,48008,12,0
41364,47874,626,0,14683,24,0
29611,12657,588,22,670,48,0
52663,30425,653,24,23675,12,1
76991,31685,327,23,17889,48,0
82679,29578,342,7,44535,24,0
129182,33831,722,12,13006,12,1
55977,12906,476,21,48536,24,0
119704,66413,828,26,26531,12,1
74115,59028,793,3,21639,24,0
116007,12287,497,7,16633,48,0
113223,38660,816,2,34660,48,1
85890,65504,813,28,3439,24,0
91387,64720,321,8,32172,12,0
43071,39701,411,28,35622,36,0
84275,22674,356,1,11577,48,0
97369,28874,365,1,11763,48,0
36938,48642,397,27,20176,36,0
60195,70160,443,12,44386,24,0
116680,22602,734,14,24255,12,1
29000,30931,385,27,41003,24,0
95588,34192,643,22,19996,60,1
126042,51542,593,11,35386,48,0
118610,47520,542,25,21062,60,0
145420,69772,331,3,35931,48,0
128691,63762,690,25,35710,48,1
131306,55106,576,7,34693,60,0
122856,30559,831,8,35740,60,1
63304,38742,453,22,11705,24,0
136783,74669,682,4,43408,60,1
94449,26754,367,23,28047,24,0
107986,8972,513,19,10966,24,0
114643,75831,675,17,17374,24,1
45764,46873,512,10,11138,48,0
133940,14903,378,14,15935,48,0
111027,8020,680,27,45913,60,1
63494,46755,357,21,489,48,0
28373,50648,325,8,44516,60,0
37161,14516,746,16,22260,48,0
122532,7396,365,26,26069,12,0
117658,24129,553,25,19275,12,0
148633,6591,343,11,36284,60,0
125386,16303,396,6,39178,48,0
52350,35561,526,9,32821,48,0
118008,76719,735,24,16999,24,1
119297,12314,678,25,38712,36,1
50351,24623,477,24,40172,60,0
113668,72675,726,9,33722,36,1
139585,70082,606,26,10625,36,1
40305,38130,803,12,1629,60,0
100353,56756,567,18,10973,48,0
101797,31292,307,10,6859,60,0
90953,74274,807,12,41609,36,0
82458,7469,775,20,43307,48,0
132112,58947,596,7,45450,12,0
45358,27534,463,7,36046,60,0
28267,68620,784,3,21839,60,0
107745,53874,371,14,27216,48,0
114588,54708,537,30,18945,12,0
63513,79553,403,27,6539,12,0
51092,73344,509,10,49522,48,0
36338,54138,767,10,33625,24,0
25412,59302,753,0,4886,60,0
32543,52638,567,16,45713,60,0
130891,7719,685,14,7485,36,1
58496,27890,686,19,31455,48,0
85692,41509,558,5,46448,36,0
114084,47534,582,23,16767,36,0
117920,23787,339,21,47165,12,0
148555,53845,785,27,28453,60,1
69425,62932,519,24,10744,36,0
63756,38062,428,14,37102,12,0
43888,65461,819,30,12226,48,0
60735,71672,559,8,27869,36,0
72295,39832,665,13,22588,60,1
142474,36966,843,17,13440,36,1
139352,77545,823,25,31709,48,1
108042,17987,315,16,47788,36,0
110999,42311,428,17,22495,60,0
42955,36575,408,4,37019,12,0
62841,68852,832,19,44948,60,0
95640,6007,568,19,48908,12,0
90510,75981,461,8,922,24,0
59911,52517,559,10,27526,60,0
84031,34257,401,23,7957,60,0
113726,47207,805,21,48564,48,1
32357,18281,546,0,33998,36,0
57479,66246,836,17,43395,12,0
86476,6435,430,5,24031,12,0
69811,31660,652,26,10006,48,1
61208,10084,495,1,37701,48,0
45150,18507,681,14,47063,36,0
96180,77595,526,28,25939,36,0
68286,50539,775,25,49145,60,0
137856,12491,776,20,20324,24,1
93450,55192,564,13,22867,36,0
46352,68888,671,4,203,48,0
80069,78609,785,5,16544,36,0
136888,14077,733,5,15899,12,1
135448,25953,510,29,29063,24,0
39397,72889,676,21,25344,60,0
66555,28821,694,29,3748,12,1
71959,42567,749,17,39486,12,0
25728,29860,663,13,1093,24,0
75517,26195,756,9,15228,60,1
144180,26427,525,13,20884,48,0
91234,32083,430,12,25183,60,0
64954,62372,775,30,16034,36,0
72280,49064,576,29,5710,12,0
104459,12813,455,2,42500,36,0
41779,36598,517,29,19259,48,0
88932,32082,489,5,35959,36,0
97936,34241,716,28,33457,60,1
49466,49569,845,7,20143,36,0
61939,16745,340,11,2103,48,0
94896,31029,606,12,365,48,1
60270,18025,637,10,46778,48,0
84163,19288,613,11,44535,60,0
107637,11540,374,0,16103,48,0
76934,73878,578,16,32510,12,0
89895,46846,475,15,24476,48,0
57307,22482,572,10,12742,36,0
79098,28411,588,12,12391,36,0
85921,55975,571,17,36940,36,0
30486,65545,365,10,28901,60,0
33335,57307,782,30,32001,36,0
111900,8093,547,27,15623,60,0
146954,27042,455,11,2378,60,0
127795,57930,346,5,21372,48,0
114112,49413,753,8,44799,12,1
122203,38756,500,15,38437,48,0
36130,58268,423,3,35503,48,0
112508,44214,300,2,30746,60,0
130955,33602,490,27,27923,60,0
143324,58331,815,15,9867,36,1
85566,53901,741,23,41258,36,1
91703,68416,442,26,33724,48,0
52192,37196,490,25,9306,24,0
26062,10626,832,29,39391,24,0
109076,12424,526,24,14908,36,0
114780,17857,612,11,27081,24,1
46545,24982,601,10,37228,36,0
46689,6980,759,4,23386,60,0
36174,53290,700,24,46754,48,0
113461,31431,850,17,45406,12,1
128033,31385,692,18,28302,48,1
34348,43158,506,22,19212,36,0
48714,28019,509,22,35618,36,0
63102,23639,414,5,46067,48,0
99460,26563,550,21,10698,36,0
127634,44341,518,17,4594,24,0
114930,10776,706,25,25525,24,1
31801,41444,742,5,14282,36,0
