income,loan_amount,credit_score,employment_years,existing_debt,loan_term
130616,17201,623,27,15160,24
60222,78479,471,30,4997,60
137727,28574,300,11,43884,36
31910,18046,445,18,16835,36
45358,27534,463,7,36046,60
149097,39531,372,7,21188,48
26542,58625,569,10,41073,36
28343,66916,553,19,29100,60
138569,11371,383,18,27962,12
114475,22144,696,13,22963,48
94092,42441,492,29,36218,36
77528,31745,348,17,5213,36
41896,34430,698,13,25963,48
114912,6524,428,9,4733,60
38843,41877,392,19,4627,36
86389,60619,713,27,25307,24
112498,55612,581,27,49430,24
131995,35015,675,19,10922,12
118610,47520,542,25,21062,60
62194,14860,319,2,23155,24
114812,27574,432,3,32934,60
64734,78543,835,27,37158,12
70525,17175,447,30,46218,36
84150,78963,635,18,26564,24
43047,78698,741,0,45270,12
68016,24816,722,14,4370,12
55080,63596,507,24,23580,48
51854,61793,407,13,4173,12
96295,68374,382,29,859,12
126042,51542,593,11,35386,48
29748,79663,334,7,14232,48
122007,62056,631,7,14715,48
66090,9809,784,22,37544,36
133761,61638,832,4,45276,24
101539,79137,679,13,49358,12
114339,25581,554,9,33418,60
59584,34402,448,23,30816,48
27747,42131,683,14,45475,36
76885,40737,555,25,661,60
141216,6252,385,30,23736,24
81570,52064,595,15,4145,48
88208,40367,587,24,11707,24
139352,77545,823,25,31709,48
70758,38434,772,28,2610,24
125843,66788,841,28,47701,12
34435,66681,779,26,14026,60
28561,11229,650,20,18919,12
58828,65774,587,28,35098,12
86267,23449,721,16,23248,24
87955,43765,789,26,14901,24
28420,60029,822,10,21225,12
30895,58394,839,13,8003,24
31295,46949,472,13,34761,36
116412,68230,748,19,18425,36
109478,48125,727,23,19493,12
107989,56920,448,7,15954,36
121825,5338,369,8,15534,60
93027,63053,526,3,8640,24
116007,12287,497,7,16633,48
38807,59615,764,10,9788,12
100766,41159,752,23,22742,36
148372,5055,635,12,35060,48
52712,18760,610,26,45838,24
32114,42412,848,9,14995,60
133940,14903,378,14,15935,48
134556,31614,357,11,26049,24
28709,68483,364,21,28554,12
41964,63606,348,3,37405,12
32392,37265,515,9,12360,60
136783,74669,682,4,43408,60
107018,33865,316,20,8024,24
131400,58302,577,4,28246,36
74115,59028,793,3,21639,24
110305,50543,338,23,38578,36
48289,77750,670,6,8026,24
92121,50002,753,25,28483,36
46357,43565,429,24,19296,48
71959,42567,749,17,39486,12
146172,53280,369,20,44764,48
70445,71061,565,9,32093,48
148555,53845,785,27,28453,60
113614,73244,398,30,44816,36
28748,16954,663,14,44505,48
105077,74836,401,10,43733,12
92563,23030,838,21,39874,36
73354,69077,696,29,43516,36
103781,48001,481,26,6476,48
90725,29285,674,28,22412,60
50342,44666,463,18,47994,36
34435,37913,641,25,30835,36
121601,46914,530,1,36932,48
125386,16303,396,6,39178,48
94678,74768,354,11,27964,36
69131,28524,418,14,16964,48
97936,34241,716,28,33457,60
37688,21478,588,2,2994,60
85713,13070,679,28,30131,36
84101,43197,498,6,8397,24
62892,50893,380,13,2775,24
29499,6759,637,22,10626,12
26324,26804,340,21,48175,24
121752,22685,821,24,3606,12
114789,28321,453,22,406,12
68484,42599,669,17,47406,24
35729,58002,762,22,6968,12
113092,70455,807,3,27772,36
53016,62660,431,18,10066,24
30237,18919,374,24,36584,24
65764,38572,636,30,13652,48
112313,60393,713,4,27127,12
91199,23574,383,2,39930,48
138632,20896,768,22,25521,60
86858,15267,649,18,24618,48
74080,24216,680,15,21205,24
33110,6605,453,27,40893,24
107386,65100,592,2,7415,48
92435,24198,651,27,23064,36
99740,79859,700,1,42581,36
130955,33602,490,27,27923,60
141381,52057,527,22,31957,60
41779,36598,517,29,19259,48
124657,65315,482,10,45351,24
90510,75981,461,8,922,24
114112,49413,753,8,44799,12
45384,60204,728,3,42043,36
76990,59620,775,12,36661,36
81491,53285,677,16,49393,36
103832,40400,519,21,37548,36
57635,7573,650,11,2187,12
79748,64129,322,16,5520,24
64504,51271,301,9,6033,12
68001,58413,300,11,15088,24
98530,24096,755,30,22625,48
25412,59302,753,0,4886,60
146305,34757,495,5,33402,12
97267,13711,849,11,14334,24
57307,22482,572,10,12742,36
147546,5846,376,18,24335,48
114045,78319,782,29,42051,12
128214,31630,561,2,17519,36
81958,58276,735,9,16322,36
56616,42148,825,15,17568,60
132450,36821,782,21,40597,48
100450,14865,724,13,23620,48
43589,72642,489,23,35436,36
86087,39016,759,7,14114,12
143324,58331,815,15,9867,36
50351,24623,477,24,40172,60
50939,72444,653,25,46220,36
29000,30931,385,27,41003,24
51105,10415,847,29,9741,24
59698,22368,324,6,13318,48
108042,17987,315,16,47788,36
72333,9425,698,17,41094,48
40707,48925,776,22,24703,24
145975,11783,721,15,21869,36
119856,34287,816,14,1988,12
137296,45806,583,29,19642,36
131477,5060,523,27,21113,60
104575,77274,661,28,40880,12
117772,75855,453,12,34716,24
118426,7219,816,25,39029,36
64298,73577,325,3,570,24
86642,32961,766,25,37930,24
138252,32285,348,2,1855,12
56024,17254,400,5,19389,36
137561,68731,699,12,10278,60
46677,57098,453,20,17375,36
80016,5077,814,20,32969,36
41646,62761,719,26,38462,12
76991,31685,327,23,17889,48
87680,24816,804,14,34710,12
52192,37196,490,25,9306,24
116362,61446,748,17,34087,36
144879,45943,455,25,19459,60
69261,49859,723,10,33687,12
77251,8596,611,20,4769,12
88335,53447,519,1,39194,36
110616,5922,442,28,29267,12
36338,54138,767,10,33625,24
94042,7050,663,27,2581,24
135133,33380,640,25,19173,48
50945,28510,412,11,30698,12
111672,71150,841,12,192,24
86629,30003,832,23,13288,24
46447,21309,696,4,32464,36
64353,46157,748,18,32182,48
123806,32446,501,25,3731,60
99460,26563,550,21,10698,36
91557,76774,664,10,32920,36
135448,25953,510,29,29063,24
69811,31660,652,26,10006,48
44190,72298,329,14,36455,48
134893,58028,427,4,2093,36
115469,60230,793,25,21119,24
91105,79182,537,16,17413,36
103953,27415,754,18,31845,48
132512,72526,784,16,21281,24
112897,33746,718,16,43526,60
113668,72675,726,9,33722,36
65774,9621,769,16,26732,24
88734,45631,429,2,2642,36
117093,62108,401,4,29783,24
116083,18350,309,14,24690,48
63102,23639,414,5,46067,48
36411,41244,766,7,29038,60
136472,24956,454,9,8252,24
144121,30522,328,21,26293,60
120259,17219,429,5,7846,24
107750,57375,416,16,12816,60
76407,67823,792,2,47607,48
55306,13666,520,18,37887,60
59578,35087,776,4,46049,48
76293,9494,569,20,36945,60
52532,24975,340,20,48395,12
128605,74298,567,9,4996,24
107848,31015,839,28,39104,12
68919,5806,740,1,22463,12
65757,63243,375,5,38078,12
75517,26195,756,9,15228,60
55355,11368,600,26,19610,24
60270,18025,637,10,46778,48
120084,74350,557,6,32101,36
142474,36966,843,17,13440,36
149123,24063,418,22,31174,60
143012,16561,749,22,6953,24
80609,49623,319,15,8328,24
129724,26949,516,23,19540,60
60195,70160,443,12,44386,24
78222,67187,846,28,4234,24
97991,43709,833,27,26884,24
69262,13007,602,26,37623,12
96726,15326,590,20,40091,48
64954,62372,775,30,16034,36
25769,18456,505,15,3832,12
134109,16637,643,9,11108,60
27368,42904,748,21,7081,60
71540,40946,719,28,33629,48
43431,37049,450,0,30206,24
83335,42198,825,27,5552,48
105038,11949,726,5,44582,12
88704,69291,663,14,21644,36
111704,76635,406,30,46172,48
131081,5814,680,7,41243,36
129290,20850,666,29,20929,48
115084,24029,728,2,1306,36
146790,50350,730,12,39542,12
94479,11254,781,26,22063,36
93497,31737,724,18,20411,36
98656,45738,562,13,10451,12
84275,22674,356,1,11577,48
43070,26172,512,23,38987,24
61631,34373,534,28,35240,60
125199,16664,502,22,18978,60
33571,5302,706,16,42291,12
60920,41586,793,12,27128,36
81556,50084,799,16,4434,36
78351,77847,735,0,16873,36
81044,6828,401,10,26500,48
49300,48221,592,27,36432,24
142858,57853,312,27,7610,48
119660,20358,667,14,1637,12
131642,27116,816,30,7674,12
81661,76431,510,8,19744,60
123018,63656,451,16,48367,12
136888,14077,733,5,15899,12
30949,49547,412,13,9359,24
125497,26927,656,3,19539,48
59911,52517,559,10,27526,60
46732,38662,661,16,21259,60
116747,67211,502,0,14162,48
112142,17182,572,6,12207,60
41371,75835,782,22,47399,12
149862,11960,533,8,31870,60
57217,61846,780,20,47897,48
44830,59771,576,3,7352,60
25728,29860,663,13,1093,24
40151,26566,541,6,14924,36
55746,41220,741,17,3278,60
148961,54153,307,4,30908,36
57606,28061,302,28,20238,12
83141,75135,686,15,25338,24
86373,20524,354,17,29240,36
136217,41397,644,0,27253,12
137816,57233,426,2,14119,60
112092,28710,306,15,36963,24
75636,58441,822,21,11889,36
113858,33541,626,12,44386,48
98523,11737,458,21,48409,12
104605,66665,464,15,22010,12
71975,16485,428,24,43803,48
128691,63762,690,25,35710,48
93450,55192,564,13,22867,36
54375,17984,601,10,3764,24
142930,25618,466,27,16523,60
116267,46688,367,11,18642,36
112922,29354,704,15,43939,48
80771,32424,642,24,46646,36
47399,73836,499,17,38506,36
113891,71017,435,18,4757,36
135989,29818,738,4,27798,12
31655,39008,782,6,23501,48
79384,9018,413,16,22693,12
73984,21748,440,8,174,60
48093,52924,659,4,136,36
48049,45042,612,11,27197,60
76005,16302,660,0,4117,48
46545,24982,601,10,37228,36
134953,10408,610,4,22547,60
84040,29442,764,29,31552,48
118264,56356,641,30,36322,60
131970,63017,726,3,12251,60
67107,69644,472,0,11336,24
33716,43890,410,18,13917,36
28890,58682,610,10,7214,12
75336,53756,521,12,38889,12
128150,73916,653,3,49053,36
81835,67516,628,28,49796,36
107986,8972,513,19,10966,24
139752,49247,623,4,18287,12
146729,75390,603,3,3273,60
111769,27431,781,15,25613,60
70543,21371,804,5,11676,60
103752,22778,784,14,27230,48
106734,70545,369,8,6989,48
102575,59912,403,15,41458,12
140668,44952,412,17,44895,12
107798,60645,342,16,13050,36
120981,79691,699,9,47937,36
29835,27015,819,11,28850,24
111807,57796,625,12,18908,36
122504,78340,620,3,14256,24
74811,70310,746,4,8367,24
80129,57269,624,23,30257,12
108211,29519,706,5,29340,60
144176,43110,407,7,17266,36
95640,6007,568,19,48908,12
32805,53543,423,2,6773,24
59620,29826,386,2,4529,48
82679,29578,342,7,44535,24
46689,6980,759,4,23386,60
36174,53290,700,24,46754,48
118848,54481,508,4,44942,36
132941,47460,526,6,25069,12
75993,17112,580,8,41605,24
63660,55448,562,16,36258,48
89895,46846,475,15,24476,48
143451,41455,780,16,10825,60
80284,50241,711,22,9076,36
86228,72661,350,4,25675,24
73190,72067,443,22,19555,12
87752,59842,447,22,49154,12
65818,65535,316,29,10751,24
26802,44224,489,7,10409,24
138429,15616,373,25,34872,12
103657,28051,312,8,35062,60
60735,71672,559,8,27869,36
116680,22602,734,14,24255,12
62841,68852,832,19,44948,60
63623,64201,457,21,3849,24
41364,47874,626,0,14683,24
114474,64379,561,12,16346,24
60777,16555,762,22,24527,24
65262,31143,633,21,39850,36
136732,69881,375,16,16999,48
31102,6622,843,18,26147,24
108285,31589,619,26,8210,60
67941,75792,415,5,3765,48
99543,6279,522,16,5103,12
74407,31916,676,17,34314,24
149358,24963,388,29,12541,48
30539,32952,845,20,33458,60
29158,76260,707,2,10295,24
48714,28019,509,22,35618,36
122532,7396,365,26,26069,12
146637,50106,541,21,34148,24
72254,54688,559,12,24944,36
147073,18918,466,23,1481,60
61208,10084,495,1,37701,48
97409,74724,716,14,12067,48
72280,49064,576,29,5710,12
119209,49028,543,17,30109,60
97369,28874,365,1,11763,48
143874,48408,793,10,22164,60
58591,6925,647,24,6982,48
75015,51514,740,26,21074,12
45559,51163,513,16,12192,24
36938,48642,397,27,20176,36
59349,31723,404,13,13232,36
114480,12564,417,5,42056,60
102189,11090,630,26,11156,60
101820,34189,550,27,27056,48
117067,17015,318,3,2832,24
34268,24262,642,28,680,60
69078,62775,462,26,11312,36
27557,43258,404,20,29061,48
141183,50558,799,12,38401,36
87623,64383,652,19,38811,12
145174,44811,519,17,30881,60
142638,37921,485,4,41680,48
36111,61264,628,10,35192,12
40708,57329,842,7,24351,60
44457,29214,578,21,13422,12
105219,14078,531,21,19288,12
92641,8389,493,19,23470,48
68525,40954,673,5,12356,48
34662,38039,648,24,43949,48
128033,31385,692,18,28302,48
81178,38142,417,14,22418,48
30530,64207,403,18,25917,48
145542,51828,601,18,39740,24
119704,66413,828,26,26531,12
139821,31289,791,2,9941,60
63088,34426,719,6,33998,60
112054,46427,731,4,20452,12
77921,41408,313,12,3453,48
51092,73344,509,10,49522,48
114135,17910,684,27,20306,12
141336,7717,482,28,44781,48
36023,50500,850,8,5021,48
40338,72957,835,0,37865,48
101552,61800,446,5,44602,48
101213,65500,798,30,26711,24
48328,60106,766,7,5307,24
98744,50648,516,5,18452,48
35647,50420,528,19,44049,36
143937,15816,612,19,11999,60
33680,58173,355,13,24473,24
81573,61979,771,25,46773,60
90733,7443,735,6,37164,24
91803,20254,816,10,30106,12
116906,32632,831,7,30981,48
51790,51167,334,30,44594,12
37874,7079,607,21,16986,24
51309,76895,698,8,40387,48
91690,25806,512,7,44717,36
96932,12239,483,4,22318,12
72605,31017,642,18,46830,24
102052,10655,580,16,43469,48
132059,47101,562,10,37327,24
133859,30934,837,15,24885,60
121276,70215,517,16,20195,60
124713,77355,706,20,27518,36
61212,33529,787,8,17186,12
35492,31657,734,3,2591,60
111779,64399,726,29,37125,60
26015,66272,567,27,45961,36
29611,12657,588,22,670,48
57479,66246,836,17,43395,12
122856,30559,831,8,35740,60
58827,52362,652,16,19552,24
97694,51163,770,23,26149,12
78006,6750,431,23,35010,48
48664,30053,718,14,2600,24
91203,77541,426,16,39350,48
143906,25609,552,14,37525,60
92172,14446,705,13,46005,48
50470,55069,631,11,47574,24
90697,16314,796,29,10728,60
128041,69484,789,21,19233,12
149704,72649,718,13,31647,48
131357,7356,617,25,23989,60
100672,9648,383,28,17478,24
130787,70128,539,10,1262,24
146692,55072,560,27,42215,36
51432,65112,564,16,4478,12
81179,13820,814,5,28916,12
48419,18234,459,3,41334,24
125235,32345,460,23,33272,60
142796,21241,685,1,34397,24
58159,78688,389,1,41328,48
57711,64676,809,6,30471,60
119297,12314,678,25,38712,36
58496,27890,686,19,31455,48
34692,46240,442,26,42712,60
68286,50539,775,25,49145,60
111416,29160,342,19,47195,24
117920,23787,339,21,47165,12
82854,67046,502,17,33340,48
78707,42744,484,1,38402,24
129346,31958,473,18,16848,12
63467,31399,472,3,4458,60
133492,70641,705,8,32254,12
128694,5404,796,5,12265,48
92214,6917,587,6,32026,24
94163,47929,508,22,39200,48
42159,78477,788,23,9168,60
56921,77099,600,23,40150,60
28987,61373,400,17,43427,60
69064,78506,734,23,24417,60
110314,21725,796,16,15721,12
79021,24541,815,17,32972,48
31801,41444,742,5,14282,36
130864,28150,720,0,35468,24
97124,54930,361,27,6838,36
95271,69929,684,20,7697,60
34823,67483,724,18,9277,12
120742,39560,586,1,19874,48
95031,79666,790,8,34441,60
73404,18859,649,1,25398,48
39397,72889,676,21,25344,60
129182,33831,722,12,13006,12
104634,40435,318,21,39082,48
85403,72364,504,14,24565,36
77992,32139,830,21,4986,60
133557,28386,602,19,2708,12
88932,32082,489,5,35959,36
136721,24426,705,27,33584,48
76934,73878,578,16,32510,12
95316,40111,814,4,31135,12
36394,44764,474,26,20975,48
76663,5126,391,12,12905,60
45056,44974,699,14,717,12
112455,69435,704,23,9280,12
147409,5117,754,4,49079,36
36130,58268,423,3,35503,48
114780,17857,612,11,27081,24
131306,55106,576,7,34693,60
111202,65279,311,14,15596,60
117658,24129,553,25,19275,12
60909,56195,426,4,22423,12
137547,73904,553,30,37705,60
87592,10122,793,12,12112,60
27693,41258,558,11,12253,12
45159,48585,452,25,42788,60
85160,23297,460,8,42239,24
111188,79441,623,22,24229,36
42429,71358,531,12,13516,60
117787,28930,699,18,38556,60
119476,59237,359,0,15810,24
27869,60168,309,16,21128,48
